Lead_ID,Lead_Date,Lead_Source,Preferred_Model,Preferred_Variant,Assigned_Salesperson,Lead_Status,Followup_Count,Finance_Intent,Exchange_Intent
LD20000,2024-01-30,Website,Swift,Base,SP10,Contacted,6,No,Yes
LD20001,2025-06-18,Facebook,City,Base,SP13,New,3,Yes,No
LD20002,2025-05-31,Facebook,Baleno,Top,SP10,Test Drive,5,Yes,Yes
LD20003,2025-07-28,Aggregator,City,Base,SP14,Booked,7,No,No
LD20004,2024-08-08,Aggregator,Nexon,Base,SP9,Contacted,7,No,No
LD20005,2025-08-16,Aggregator,Creta,Base,SP7,Booked,6,No,Yes
LD20006,2025-05-08,Aggregator,Baleno,Top,SP7,Contacted,1,Yes,Yes
LD20007,2024-09-09,Referral,City,Top,SP18,Booked,1,Yes,No
LD20008,2025-07-17,Walk-in,Swift,Top,SP16,Contacted,2,No,No
LD20009,2024-11-16,Aggregator,Venue,Mid,SP8,Booked,3,No,Yes
LD20010,2024-02-08,Website,Venue,Mid,SP16,Booked,0,Yes,No
LD20011,2025-04-09,Facebook,Baleno,Mid,SP19,Booked,4,No,No
LD20012,2025-02-14,Aggregator,Venue,Mid,SP15,New,6,No,No
LD20013,2025-02-15,Website,Creta,Top,SP15,Test Drive,9,Yes,Yes
LD20014,2025-05-06,Referral,Baleno,Base,SP6,Test Drive,4,Yes,No
LD20015,2025-03-13,Website,Swift,Top,SP9,Lost,6,No,No
LD20016,2025-04-23,Website,Swift,Mid,SP15,Contacted,4,Yes,No
LD20017,2024-03-12,Referral,Baleno,Top,SP7,Booked,9,No,Yes
LD20018,2025-08-04,Referral,Venue,Base,SP8,Contacted,7,Yes,Yes
LD20019,2024-08-07,Facebook,Venue,Mid,SP18,Contacted,6,Yes,No
LD20020,2024-01-04,Aggregator,Swift,Base,SP16,New,0,Yes,No
LD20021,2024-10-16,Website,Creta,Base,SP15,New,0,Yes,No
LD20022,2025-01-14,Walk-in,Nexon,Base,SP3,New,4,No,Yes
LD20023,2024-12-20,Walk-in,Venue,Mid,SP1,New,1,Yes,Yes
LD20024,2024-03-20,Facebook,Creta,Top,SP13,New,8,No,No
LD20025,2024-03-06,Walk-in,Venue,Mid,SP12,Booked,1,Yes,No
LD20026,2024-05-15,Facebook,Nexon,Mid,SP9,Contacted,8,No,No
LD20027,2025-02-02,Aggregator,Baleno,Top,SP2,Booked,9,Yes,No
LD20028,2025-12-03,Facebook,City,Top,SP9,Test Drive,1,Yes,No
LD20029,2024-12-12,Referral,Swift,Top,SP8,Booked,3,No,No
LD20030,2024-02-28,Referral,Baleno,Top,SP5,Test Drive,2,Yes,No
LD20031,2025-06-02,Referral,Venue,Base,SP13,New,5,No,Yes
LD20032,2025-12-14,Referral,Nexon,Mid,SP2,Test Drive,3,No,Yes
LD20033,2024-08-24,Referral,Swift,Mid,SP10,Test Drive,8,Yes,Yes
LD20034,2024-03-19,Referral,City,Mid,SP6,Test Drive,8,Yes,No
LD20035,2025-07-11,Referral,City,Top,SP7,Booked,9,No,Yes
LD20036,2025-11-02,Referral,Nexon,Mid,SP3,Booked,8,Yes,No
LD20037,2024-04-24,Referral,Nexon,Base,SP14,Contacted,2,Yes,Yes
LD20038,2025-04-06,Aggregator,Venue,Mid,SP16,Booked,2,No,Yes
