Invoice_ID,Booking_Date,Invoice_Date,Model,Variant,Fuel_Type,Color,Sales_Channel,Salesperson_ID,Ex_Showroom_Price,Discount,Finance_Used,Exchange_Used,Gross_Margin,Net_Sale_Price
INV10000,2024-04-12,2025-05-09,Swift,Mid,Diesel,Black,Referral,SP17,1571101,39137,Yes,No,81630,1531964
INV10001,2025-03-11,2025-03-02,City,Top,Petrol,Black,Digital,SP4,1660869,72663,No,Yes,56417,1588206
INV10002,2024-09-27,2024-06-26,Swift,Base,EV,Black,Referral,SP16,1649622,48232,Yes,Yes,147390,1601390
INV10003,2024-04-16,2025-03-03,Creta,Top,EV,Red,Corporate,SP19,537403,78142,Yes,Yes,66894,459261
INV10004,2024-03-12,2024-10-20,Venue,Base,Diesel,White,Walk-in,SP10,1716841,32743,Yes,No,76042,1684098
INV10005,2025-12-01,2024-05-30,Venue,Base,Diesel,Blue,Referral,SP3,897046,15636,Yes,Yes,83253,881410
INV10006,2024-01-21,2025-01-18,City,Base,Diesel,Black,Referral,SP3,1473648,10108,No,Yes,68841,1463540
INV10007,2025-09-06,2025-09-29,Nexon,Mid,Diesel,Blue,Corporate,SP17,1680181,73634,Yes,Yes,72723,1606547
INV10008,2024-05-01,2024-11-03,Creta,Top,Diesel,Blue,Walk-in,SP10,652018,36180,No,Yes,40317,615838
INV10009,2025-04-11,2024-12-01,Creta,Base,Petrol,Red,Walk-in,SP17,785648,18883,Yes,Yes,75008,766765
INV10010,2024-08-02,2025-01-09,Swift,Base,EV,Black,Digital,SP17,1866435,44400,Yes,Yes,56434,1822035
INV10011,2024-11-26,2024-01-08,Creta,Mid,Petrol,Blue,Digital,SP4,1473945,45999,Yes,Yes,66125,1427946
INV10012,2025-04-03,2024-12-06,Baleno,Top,Petrol,Black,Corporate,SP6,1590297,47951,No,No,100984,1542346
INV10013,2024-03-28,2024-05-08,Nexon,Top,Petrol,Silver,Walk-in,SP12,611597,7160,Yes,Yes,95449,604437
INV10014,2025-01-07,2025-10-30,Swift,Mid,Petrol,Silver,Walk-in,SP20,672922,55262,Yes,No,94102,617660
INV10015,2024-04-09,2024-12-17,Baleno,Mid,Petrol,Silver,Digital,SP17,1911379,19929,No,No,117980,1891450
INV10016,2025-10-25,2024-12-23,City,Top,Diesel,Blue,Digital,SP17,796867,11123,Yes,Yes,101141,785744
INV10017,2024-05-10,2025-05-31,Venue,Mid,Diesel,Silver,Corporate,SP10,1284717,28357,No,No,20557,1256360
INV10018,2025-10-23,2025-05-09,City,Top,EV,Red,Walk-in,SP7,1490533,70496,Yes,No,127776,1420037
INV10019,2024-11-04,2024-03-26,Venue,Top,Petrol,Red,Referral,SP16,863284,33556,Yes,Yes,64383,829728
INV10020,2024-12-09,2024-06-23,City,Base,EV,Blue,Digital,SP13,1700959,61934,Yes,No,26040,1639025
INV10021,2025-05-06,2024-07-11,Creta,Base,Diesel,Black,Corporate,SP3,1927705,78886,No,Yes,66652,1848819
INV10022,2025-02-17,2024-11-06,Baleno,Top,Diesel,White,Walk-in,SP2,848125,30881,Yes,Yes,119432,817244
INV10023,2025-01-20,2024-04-28,Venue,Top,Diesel,Black,Walk-in,SP16,1941975,18409,Yes,Yes,136048,1923566
INV10024,2024-07-10,2024-08-05,Swift,Top,Petrol,Black,Digital,SP6,1295907,55416,Yes,Yes,80941,1240491
INV10025,2024-10-03,2025-03-02,Baleno,Top,Petrol,Black,Corporate,SP6,694202,67982,No,Yes,107340,626220
INV10026,2024-06-09,2025-02-17,Swift,Top,Diesel,Black,Referral,SP13,821721,30657,No,Yes,94828,791064
INV10027,2025-04-04,2024-04-23,Baleno,Top,EV,White,Digital,SP7,1836728,48951,No,Yes,46110,1787777
INV10028,2024-11-09,2024-05-24,Baleno,Mid,EV,Silver,Corporate,SP5,1232228,8752,No,No,25349,1223476
INV10029,2024-01-22,2025-06-21,City,Top,Diesel,Black,Walk-in,SP7,941157,13440,No,Yes,50374,927717
INV10030,2024-09-09,2025-10-09,Venue,Mid,EV,Red,Referral,SP2,921128,44864,No,No,104545,876264
INV10031,2025-07-14,2024-10-29,Venue,Mid,Diesel,Blue,Corporate,SP17,1106990,49691,Yes,Yes,130623,1057299
INV10032,2025-04-19,2025-08-10,Baleno,Top,EV,Blue,Referral,SP13,1730307,72035,Yes,Yes,62591,1658272
INV10033,2024-02-28,2024-12-10,Creta,Top,Diesel,Red,Corporate,SP16,1333272,22343,Yes,Yes,20057,1310929
INV10034,2025-05-25,2024-01-01,Creta,Mid,EV,Black,Corporate,SP20,1761160,19673,Yes,No,144007,1741487
INV10035,2025-11-12,2024-05-26,Swift,Mid,Petrol,White,Corporate,SP2,1545254,59954,Yes,No,94039,1485300
INV10036,2025-04-20,2024-10-13,Swift,Top,Diesel,Silver,Corporate,SP5,800767,54698,No,No,113829,746069
INV10037,2025-11-30,2025-10-15,City,Top,Diesel,Blue,Referral,SP18,1349735,26520,No,No,140536,1323215
INV10038,2024-07-08,2024-02-22,Baleno,Mid,EV,Silver,Digital,SP7,556690,15784,No,No,84578,540906
INV10039,2025-11-17,2024-10-30,Swift,Mid,Diesel,White,Referral,SP11,1647556,38079,Yes,No,128497,1609477
INV10040,2025-07-16,2024-03-09,Swift,Mid,Diesel,Blue,Corporate,SP11,1965426,44220,No,Yes,39121,1921206
INV10041,2025-07-20,2024-12-26,Nexon,Base,Diesel,Silver,Referral,SP17,1017926,20491,Yes,Yes,25493,997435
INV10042,2024-08-31,2025-08-24,Baleno,Mid,Petrol,White,Referral,SP16,1015717,48720,No,No,148758,966997
INV10043,2025-05-19,2024-08-07,City,Base,Petrol,Silver,Referral,SP13,1421594,14718,Yes,No,122181,1406876
INV10044,2024-05-10,2025-12-04,Swift,Top,EV,Black,Corporate,SP5,1855986,35597,No,No,87818,1820389
INV10045,2025-04-29,2025-07-28,City,Top,Petrol,White,Referral,SP20,661080,61217,Yes,No,108706,599863
INV10046,2025-10-08,2025-08-07,Venue,Mid,EV,Silver,Walk-in,SP16,1374075,26832,No,No,129679,1347243
INV10047,2024-01-21,2024-06-09,City,Top,Petrol,Black,Corporate,SP16,1082992,54818,Yes,Yes,140196,1028174
INV10048,2024-06-15,2025-11-11,Creta,Top,EV,Black,Referral,SP16,956082,12864,No,Yes,21431,943218
INV10049,2024-09-30,2024-03-29,Creta,Top,Petrol,White,Walk-in,SP14,1928094,8177,Yes,Yes,80469,1919917
INV10050,2025-01-22,2025-11-18,City,Top,Petrol,Red,Referral,SP6,1294814,46115,Yes,Yes,82241,1248699
INV10051,2025-08-23,2025-08-07,Creta,Base,EV,Blue,Digital,SP2,940990,56210,Yes,Yes,65294,884780
INV10052,2024-11-11,2025-08-11,Venue,Base,Diesel,White,Referral,SP14,763254,51954,Yes,Yes,120079,711300
INV10053,2024-01-14,2024-06-07,Baleno,Mid,Diesel,Black,Referral,SP16,975197,11844,No,Yes,144198,963353
INV10054,2024-08-29,2025-05-03,Creta,Mid,Petrol,Black,Digital,SP20,1680034,74130,No,Yes,106127,1605904
INV10055,2024-12-11,2024-11-19,Creta,Mid,EV,White,Corporate,SP13,715192,13418,No,No,31351,701774
INV10056,2025-07-18,2025-09-01,City,Top,Diesel,Red,Digital,SP15,1790858,34854,Yes,No,52483,1756004
INV10057,2024-12-05,2025-01-15,Venue,Top,EV,Blue,Corporate,SP12,1382517,75955,No,Yes,51195,1306562
INV10058,2024-04-01,2024-04-11,Baleno,Base,Diesel,Silver,Digital,SP9,1751505,43950,Yes,Yes,132943,1707555
INV10059,2025-01-01,2025-05-08,City,Base,EV,White,Referral,SP18,1507480,65227,No,Yes,144208,1442253
INV10060,2025-03-30,2025-10-05,City,Mid,Petrol,Blue,Referral,SP14,1580142,12835,Yes,No,122689,1567307
INV10061,2025-03-03,2025-09-05,Nexon,Base,EV,Blue,Corporate,SP20,1789876,17533,No,No,42735,1772343
INV10062,2025-05-23,2024-01-19,Venue,Base,Diesel,Black,Corporate,SP4,1572374,10223,Yes,Yes,35203,1562151
INV10063,2024-02-04,2025-03-29,Baleno,Base,Petrol,Silver,Walk-in,SP8,1955357,10273,Yes,No,23974,1945084
INV10064,2024-07-24,2025-04-26,Venue,Base,EV,White,Walk-in,SP8,523027,33519,No,Yes,124209,489508
INV10065,2024-03-21,2025-08-16,Baleno,Base,Diesel,Black,Referral,SP16,1000252,24160,No,Yes,139365,976092
INV10066,2025-07-15,2025-01-31,Venue,Mid,Petrol,Black,Referral,SP10,990847,74385,No,Yes,122769,916462
INV10067,2025-01-22,2024-10-05,City,Mid,EV,Red,Walk-in,SP17,1788204,48988,Yes,Yes,143099,1739216
INV10068,2024-01-02,2024-12-30,City,Base,Diesel,Blue,Walk-in,SP1,1127761,10348,Yes,Yes,105222,1117413
INV10069,2025-01-24,2024-11-26,Swift,Mid,EV,White,Corporate,SP18,1476086,67519,Yes,No,59713,1408567
INV10070,2025-07-19,2025-10-02,Creta,Top,EV,White,Digital,SP10,558334,14629,No,Yes,129362,543705
INV10071,2024-04-15,2024-12-09,Nexon,Base,Petrol,White,Corporate,SP4,1883043,49056,Yes,Yes,144776,1833987
INV10072,2025-04-21,2025-03-30,Venue,Top,Petrol,Black,Walk-in,SP1,1077907,11273,No,Yes,32636,1066634
INV10073,2025-12-03,2025-08-23,Nexon,Mid,Diesel,Red,Referral,SP4,920091,40416,Yes,Yes,55070,879675
INV10074,2025-02-05,2025-12-25,Swift,Mid,Petrol,Silver,Walk-in,SP4,1179874,7894,No,No,49123,1171980
INV10075,2025-12-30,2025-10-16,Creta,Top,Diesel,Black,Referral,SP4,1702228,46073,Yes,Yes,140973,1656155
INV10076,2025-07-09,2024-03-05,Venue,Mid,EV,Silver,Referral,SP17,759201,45693,Yes,Yes,51812,713508
INV10077,2024-06-10,2024-03-16,Baleno,Base,EV,Red,Referral,SP9,1241187,51466,No,No,48760,1189721
INV10078,2024-07-20,2025-12-11,Creta,Top,Diesel,Blue,Referral,SP19,1031022,24343,Yes,Yes,24966,1006679
INV10079,2024-09-26,2024-05-22,City,Base,EV,White,Digital,SP13,1325440,43095,Yes,Yes,131751,1282345
INV10080,2024-09-27,2025-08-27,Swift,Top,Petrol,Silver,Walk-in,SP4,811493,31174,No,Yes,138414,780319
INV10081,2025-03-31,2025-04-17,Creta,Mid,EV,Black,Corporate,SP5,1687462,50801,Yes,Yes,103962,1636661
INV10082,2025-04-06,2025-02-20,Creta,Top,Petrol,Silver,Referral,SP13,1984946,72436,No,No,99698,1912510
INV10083,2025-12-27,2024-10-31,City,Top,Diesel,Blue,Referral,SP16,638923,69336,No,Yes,36058,569587
INV10084,2024-09-08,2025-05-11,Venue,Base,Diesel,White,Corporate,SP5,632672,42926,Yes,Yes,61482,589746
INV10085,2025-12-02,2024-10-17,Baleno,Mid,EV,Silver,Corporate,SP8,556614,72590,Yes,No,129203,484024
INV10086,2024-10-22,2024-04-11,City,Base,EV,Blue,Referral,SP16,703474,38827,Yes,Yes,22998,664647
INV10087,2025-12-25,2024-09-23,Baleno,Mid,Petrol,Black,Corporate,SP1,1290124,44775,No,Yes,142659,1245349
INV10088,2025-12-20,2025-09-13,Venue,Base,Petrol,Red,Corporate,SP6,626745,41201,Yes,No,81265,585544
INV10089,2024-12-03,2024-01-03,Creta,Top,EV,Black,Digital,SP11,1737675,29373,No,Yes,86445,1708302
